Code,Name
U+1F3A1,ferris wheel
U+1F3A2,roller coaster
U+1F488,barber pole
U+1F3AA,circus tent
U+1F682,locomotive
U+1F683,railway car
U+1F684,high speed train
U+1F685,bullet train
U+1F686,train
U+1F687,metro
U+1F688,light rail
U+1F689,station
U+1F68A,tram
U+1F69D,monorail
U+1F69E,mountain railway
U+1F68B,tram car
U+1F68C,bus
U+1F68D,oncoming bus
U+1F68E,trolleybus
U+1F690,minibus
U+1F691,ambulance
U+1F693,police car
U+1F694,oncoming police car
U+1F695,taxi
U+1F696,oncoming taxi
U+1F697,automobile
U+1F698,oncoming automobile
U+1F699,sport utility vehicle
U+1F6FB,  pickup truck
U+1F69A,delivery truck
U+1F69B,articulated lorry
U+1F69C,tractor
U+1F3CE,racing car
U+1F3CD,motorcycle
U+1F6F5,motor scooter
U+1F6FA,auto rickshaw
U+1F6B2,bicycle
U+1F6F4,kick scooter
U+1F6F9,skateboard
U+1F6FC,  roller skate
U+1F68F,bus stop
U+1F6E3,motorway
U+1F6E4,railway track
U+1F6E2,oil drum
U+26FD,fuel pump
U+1F6A8,police car light
U+1F6A5,horizontal traffic light
U+1F6A6,vertical traffic light
U+1F6D1,stop sign
U+1F6A7,construction
U+2693,anchor
U+26F5,sailboat
U+1F6F6,canoe
U+1F6A4,speedboat
U+1F6F3,passenger ship
U+26F4,ferry
U+1F6E5,motor boat
U+1F6A2,ship
U+1F6E9,small airplane
U+1F6EB,airplane departure
U+1F6EC,airplane arrival
U+1FA82,parachute
U+1F4BA,seat
U+1F681,helicopter
U+1F69F,suspension railway
U+1F6A0,mountain cableway
U+1F6A1,aerial tramway
U+1F6F0,satellite
U+1F6F8,flying saucer
U+1F6CE,bellhop bell
U+1F9F3,luggage
U+231B,hourglass done
U+23F3,hourglass not done
U+231A,watch
U+23F0,alarm clock
U+23F1,stopwatch
U+23F2,timer clock
U+1F570,mantelpiece clock
U+1F55B,twelve o clock
U+1F567,twelve thirty
U+1F550,one o clock
U+1F55C,one thirty
U+1F551,two o clock
U+1F55D,two thirty
U+1F552,three o clock
U+1F55E,three thirty
U+1F553,four o clock
U+1F55F,four thirty
U+1F554,five o clock
U+1F560,five thirty
U+1F555,six o clock
U+1F561,six thirty
U+1F556,seven o clock
U+1F562,seven thirty
U+1F557,eight o clock
U+1F563,eight thirty
U+1F558,nine o clock
U+1F564,nine thirty
U+1F559,ten o clock
U+1F565,ten thirty
U+1F55A,eleven o clock
U+1F566,eleven thirty
U+1F311,new moon
U+1F312,waxing crescent moon
U+1F313,first quarter moon
U+1F314,waxing gibbous moon
U+1F315,full moon
U+1F316,waning gibbous moon
U+1F317,last quarter moon
U+1F318,waning crescent moon
U+1F319,crescent moon
U+1F31A,new moon face
U+1F31B,first quarter moon face
U+1F31C,last quarter moon face
U+1F321,thermometer
U+2600,sun
U+1F31D,full moon face
U+1F31E,sun with face
U+1FA90,ringed planet
U+2B50,star
U+1F31F,glowing star
U+1F320,shooting star
U+1F30C,milky way
U+2601,cloud
U+26C5,sun behind cloud
U+26C8,cloud with lightning and rain
U+1F324,sun behind small cloud
U+1F325,sun behind large cloud
U+1F326,sun behind rain cloud
U+1F327,cloud with rain
U+1F328,cloud with snow
U+1F329,cloud with lightning
U+1F32A,tornado
U+1F32B,fog
U+1F32C,wind face
U+1F300,cyclone
U+1F308,rainbow flag
U+1F302,closed umbrella
U+2602,umbrella
U+2614,umbrella with rain drops
U+26F1,umbrella on ground
U+26A1,high voltage
U+2603,snowman
U+26C4,snowman without snow
U+2604,comet
U+1F525,fire
U+1F4A7,droplet
U+1F30A,water wave
U+1F383,jack o lantern
U+1F386,fireworks
U+1F387,sparkler
U+1F9E8,firecracker
U+2728,sparkles
U+1F388,balloon
U+1F389,party popper
U+1F38A,confetti ball
U+1F38B,tanabata tree
U+1F38D,pine decoration
U+1F38E,Japanese dolls
U+1F38F,carp streamer
U+1F390,wind chime
U+1F391,moon viewing ceremony
U+1F9E7,red envelope
U+1F380,ribbon
U+1F381,wrapped gift
U+1F397,reminder ribbon
U+1F39F,admission tickets
U+1F3AB,ticket
U+1F396,military medal
U+1F3C6,trophy
U+1F3C5,sports medal
U+1F947,1st place medal
U+1F948,2nd place medal
U+1F949,3rd place medal
U+26BD,soccer ball
U+26BE,baseball
U+1F94E,softball
U+1F3C0,basketball
U+1F3D0,volleyball
U+1F3C8,american football
U+1F3C9,rugby football
U+1F3BE,tennis
U+1F94F,flying disc
U+1F3B3,bowling
U+1F3CF,cricket game
U+1F3D1,field hockey
U+1F3D2,ice hockey
U+1F94D,lacrosse
U+1F3D3,ping pong
U+1F3F8,badminton
U+1F94A,boxing glove
U+1F94B,martial arts uniform
U+1F945,goal net
U+26F3,flag in hole
U+26F8,ice skate
U+1F3A3,fishing pole
U+1F93F,diving mask
U+1F3BD,running shirt
U+1F3BF,skis
U+1F6F7,sled
U+1F94C,curling stone
U+1F3AF,direct hit
U+1FA80,yo yo
U+1FA81,kite
U+1F3B1,pool 8 ball
U+1F52E,crystal ball
U+1FA84,  magic wand
U+1F9FF,nazar amulet
U+1F3AE,video game
U+1F579,joystick
U+1F3B0,slot machine
U+1F3B2,game die
U+1F9E9,puzzle piece
U+1F9F8,teddy bear
U+1FA85,  pi ata
U+1FA86,  nesting dolls
U+2660,spade suit
U+2665,heart suit
U+2666,diamond suit
U+2663,club suit
U+265F,chess pawn
U+1F0CF,joker
U+1F004,mahjong red dragon
U+1F3B4,flower playing cards
U+1F3AD,performing arts
U+1F5BC,framed picture
U+1F9F5,thread
